02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; UNIMAG ; Automática ; 11.225198 ; -74.1864444 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
